,word,count
26875,man,246
26867,big,112
26931,dog,102
24084,love,99
26891,red,78
26958,boy,73
24340,fuck,69
24125,blue,68
26952,ass,62
26820,the,61
24263,pass,60
29136,asd,56
26821,and,53
26833,one,51
27728,ger,51
26883,hot,51
26866,per,50
24316,ball,47
27764,mer,47
26990,cat,46
26823,you,44
27153,ian,43
24127,star,43
26855,sex,42
27692,ter,41
27039,les,41
28018,ber,41
20387,black,40
24034,good,39
26916,mar,38
24275,fish,35
24134,head,35
20836,angel,35
27144,ron,34
27117,abc,33
27209,aka,33
26827,new,33
27337,ste,32
27221,chi,32
26861,car,32
26826,all,31
16179,master,31
20599,pussy,30
26935,mon,30
26889,let,30
24257,sexy,30
27825,ers,29
24160,rock,29
27608,cha,29
16616,dragon,28
27355,ser,28
24259,cool,28
20422,money,28
24085,john,28
24174,girl,28
26341,mari,27
27138,lol,27
27279,ali,27
24303,jack,27
27508,lin,27
24049,life,27
24131,baby,27
7802,password,27
26998,bob,27
20573,super,27
20664,chris,26
26969,pop,26
26960,son,26
27084,sam,26
24548,alex,26
20757,hello,26
24410,bird,26
20522,james,26
24186,fire,25
27753,sha,25
16933,monkey,25
27043,dan,24
26907,god,24
24123,hard,24
27113,ing,24
23995,free,24
24384,bear,24
24481,hell,24
24196,king,23
27435,ala,23
25591,bert,23
27075,der,23
24455,kill,23
24450,dick,23
27506,che,22
20493,david,22
27375,tar,22
20494,green,22
27122,era,22
20593,nokia,22
27580,sta,22
24612,anna,22
26843,get,22
24176,golf,22
24108,test,22
23996,time,22
27135,ill,21
27538,sch,21
27468,mel,21
27345,nat,21
27485,cho,21
25110,mama,21
16400,soccer,21
27278,ash,21
27234,rat,21
24647,wolf,21
24618,shit,21
26864,end,21
26923,bad,21
26930,bar,21
27676,ale,21
26993,guy,21
28438,ley,21
27248,tri,20
27128,ken,20
27383,sie,20
27350,ver,20
26989,ten,20
27070,ben,20
26886,san,20
26910,fun,20
24630,fred,19
27625,cor,19
26851,her,19
26842,now,19
28326,poo,19
26859,off,19
26897,war,19
27380,ham,19
27387,bon,19
27292,mag,19
24422,moon,19
27500,vet,19
20583,happy,19
27159,mit,19
27060,tim,19
29109,nik,19
26988,fan,18
27164,lan,18
28735,ble,18
27007,bag,18
26006,aaaa,18
21064,lucky,18
27126,par,18
26852,add,18
26846,top,18
27658,lon,18
24292,mike,18
24159,mark,18
24153,bill,18
27889,har,18
27250,mat,18
27141,def,17
27097,kim,17
27078,ram,17
24064,long,17
27127,mad,17
27152,tie,17
11661,michael,17
27176,rod,17
24130,porn,17
27259,hon,17
24285,dark,17
26869,art,17
26877,too,17
24570,sand,17
27780,sco,17
27239,gen,17
27267,ist,17
27789,boo,17
27405,ana,17
16677,shadow,17
28197,oki,16
26991,die,16
24439,bass,16
21783,andre,16
24738,bull,16
24550,bone,16
27296,ton,16
24433,eric,16
27413,ant,16
24149,land,16
27256,pie,16
24183,paul,16
28033,shi,16
27232,tin,16
27049,sky,16
26277,mein,16
27118,jay,16
20396,house,16
26920,ago,16
26954,sea,16
26848,day,16
24466,matt,15
26957,kit,15
26835,out,15
26904,net,15
27581,ret,15
28982,ola,15
24491,lock,15
27458,dim,15
27527,bud,15
24347,cock,15
20765,sweet,15
27287,bee,15
16387,daniel,15
27407,mil,15
24291,dead,15
24283,wood,15
12892,mustang,15
28579,ina,15
25679,pimp,15
27167,den,15
27254,tan,15
24190,face,15
26979,min,15
27088,pan,15
27083,gun,15
24097,west,15
26901,sun,15
27661,iss,15
28946,poi,15
27270,lil,15
27147,pat,15
27002,cum,15
26822,for,15
21311,lover,15
27003,ice,15
28930,ard,14
16156,summer,14
24631,mill,14
26892,key,14
27634,han,14
20675,stone,14
29210,edc,14
24936,buck,14
24791,drag,14
27389,len,14
24955,hawk,14
27835,bbb,14
27927,gan,14
24143,gold,14
24058,line,14
27155,bmw,14
26964,max,14
12302,charlie,14
26872,non,14
28694,fer,14
27062,don,14
27037,eat,14
26997,lee,14
27012,jim,14
26981,fat,14
26996,vol,14
23991,more,14
26545,dani,14
21136,horny,14
28562,tre,14
21082,tiger,14
27197,ion,14
28529,ara,14
21113,devil,14
20597,peter,13
27595,doo,13
26967,van,13
28213,oro,13
26881,air,13
26828,was,13
28302,ros,13
24485,suck,13
28270,hua,13
26888,got,13
26858,way,13
24440,hole,13
23993,home,13
24017,just,13
24072,open,13
26972,eye,13
25623,mast,13
28045,rus,13
27198,tit,13
27191,jam,13
27169,lie,13
28028,bal,13
25450,arin,13
27929,dar,13
27858,kat,13
16402,christ,13
27832,woo,13
25347,ness,13
24418,mine,13
20788,brian,13
24342,rose,13
27479,ira,13
27698,uss,13
24530,nick,13
24248,tree,12
24524,char,12
27626,goo,12
27699,och,12
26829,can,12
20738,jesus,12
26940,sat,12
27507,ies,12
27497,din,12
24274,mini,12
27719,eli,12
17484,ranger,12
25750,aria,12
27029,con,12
27796,ack,12
24325,ford,12
28749,tig,12
28223,nie,12
23999,what,12
21376,bitch,12
16461,jordan,12
27828,bea,12
27388,mas,12
21314,daddy,12
26824,not,12
26984,xxx,12
20808,alpha,12
20373,under,12
24771,boob,12
20398,power,12
16885,killer,12
27014,joe,12
24836,audi,12
27034,mom,12
27079,fox,12
28144,chu,12
20461,girls,12
28026,lad,12
24515,beer,12
20972,eagle,12
25295,xxxx,12
27217,eng,12
26928,bit,11
21409,anger,11
26898,nov,11
26903,run,11
28157,ric,11
27425,sas,11
26966,bin,11
26961,mac,11
28167,eas,11
24243,anti,11
26199,mich,11
24411,lady,11
20462,night,11
24112,less,11
27303,cow,11
27327,bat,11
27320,sim,11
27364,ada,11
27001,www,11
28434,ito,11
21676,spank,11
24853,frog,11
27040,ann,11
27013,del,11
27010,bug,11
24331,foot,11
26978,las,11
26854,she,11
27588,err,11
24221,nice,11
24833,duck,11
24376,iron,11
26009,poop,11
27935,kin,11
25346,lick,11
22256,anton,11
24594,butt,11
16010,access,11
24556,wing,11
24599,kiss,11
27225,ins,11
21095,billy,11
28487,cbr,11
26878,men,11
27493,rel,11
24165,fast,11
16234,martin,10
27712,tor,10
26924,far,10
24037,high,10
29070,hol,10
24806,bean,10
27242,aaa,10
21080,candy,10
27300,bra,10
29000,awg,10
20852,buddy,10
27020,ave,10
23343,bubba,10
24329,shot,10
28071,rot,10
24782,mega,10
27093,sum,10
21109,jimmy,10
24715,corn,10
27067,pin,10
20362,world,10
27018,des,10
27016,lab,10
28902,sss,10
27050,rom,10
21231,omega,10
21300,tommy,10
27071,aol,10
21249,honey,10
25791,alla,10
27102,que,10
26985,tom,10
21624,chevy,10
27026,ray,10
23992,will,10
20620,trust,10
26944,wed,10
16390,hunter,10
24328,pink,10
24334,wild,10
26839,his,10
24276,pack,10
24267,mary,10
27480,sen,10
24168,tech,10
28310,yan,10
28528,hoo,10
24627,rick,10
26847,had,10
17284,batman,10
16164,thomas,9
16136,robert,9
28354,hou,9
25057,stan,9
24616,nova,9
16131,silver,9
28727,ris,9
26945,inn,9
26865,him,9
24502,hate,9
24533,anne,9
27612,mos,9
20616,metal,9
20667,seven,9
28472,bun,9
26894,age,9
20540,brand,9
27418,uri,9
16299,orange,9
27006,bus,9
18146,buster,9
28887,ddd,9
20680,scott,9
18482,lakers,9
20541,stuff,9
25154,tina,9
26948,inc,9
24437,onto,9
24477,bond,9
24610,boss,9
27511,nas,9
27751,bel,9
20775,frank,9
28293,moo,9
27594,pol,9
26917,pro,9
24268,ring,9
28718,coo,9
21542,kitty,9
27401,nut,9
23076,sasha,9
27044,fly,9
27045,hey,9
24078,down,9
27390,kai,9
24076,game,9
24850,polo,9
28060,ari,9
18874,camaro,9
24858,flip,9
21227,rocky,9
25200,papa,9
25257,tara,9
24452,bell,9
24668,punk,9
25994,ding,9
28032,wil,9
27283,por,9
27308,avi,9
24681,temp,9
24151,ever,9
21142,liver,9
25341,lori,9
20900,jason,9
27145,org,9
24819,jeep,9
20407,water,9
27200,ban,9
